sampleId,locality,country,city,collectionDate,lat,long,season,type,continent,set,nFlies,SRA_accession,SRA_experiment,Model,collector,sampleType,year,yday,stationId,dist_km,In(2L)t,In(2R)Ns,In(3L)P,In(3R)C,In(3R)K,In(3R)Mo,In(3R)Payne,status,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,tmin1,tmin2,tmin3,tmin4,tmin5,tmin6,tmin7,tmin8,tmin9,tmin10,tmin11,tmin12,tmax1,tmax2,tmax3,tmax4,tmax5,tmax6,tmax7,tmax8,tmax9,tmax10,tmax11,tmax12,prec1,prec2,prec3,prec4,prec5,prec6,prec7,prec8,prec9,prec10,prec11,prec12,propSimNorm,sex
CA_es_12_fall,CA_es,USA,Esparto,2012/08/22,38.68,-122.046,fall,pooled,NorthAmerica,DrosRTEC,92,SRR3939043,SRX1968272,Illumina HiSeq 2000,H._Machado,wild,2012,235,USR0000CBRO,10.7511059269376,0.04,0.03,0,0.01,0.01,0.01,0.03,Keep,160,164,48,6203,357,17,340,82,239,239,82,549,119,1,90,302,7,7,302,17,36,48,64,95,128,144,137,118,86,47,19,130,163,185,223,275,323,357,349,317,264,183,132,119,93,76,31,9,4,1,2,9,32,83,90,0.00744834560148396,male
CA_es_12_frost,CA_es,USA,Esparto,2012/11/20,38.68,-122.046,frost,pooled,NorthAmerica,DrosRTEC,92,SRR3939103,SRX1968332,Illumina HiSeq 2000,H._Machado,wild,2012,325,USR0000CBRO,10.7511059269376,0.05,0.01,0,0.01,0,0.02,0.03,Keep,160,164,48,6203,357,17,340,82,239,239,82,549,119,1,90,302,7,7,302,17,36,48,64,95,128,144,137,118,86,47,19,130,163,185,223,275,323,357,349,317,264,183,132,119,93,76,31,9,4,1,2,9,32,83,90,0.0208725082527637,male
CA_es_12_spring,CA_es,USA,Esparto,2012/06/13,38.68,-122.046,spring,pooled,NorthAmerica,DrosRTEC,27,SRR3939042,SRX1968271,Illumina HiSeq 2000,H._Machado,wild,2012,165,USR0000CBRO,10.7511059269376,0.06,0.03,0,0.02,0,0.02,0.03,Keep,160,164,48,6203,357,17,340,82,239,239,82,549,119,1,90,302,7,7,302,17,36,48,64,95,128,144,137,118,86,47,19,130,163,185,223,275,323,357,349,317,264,183,132,119,93,76,31,9,4,1,2,9,32,83,90,0.00454799968453591,male
CA_es_13_fall,CA_es,USA,Esparto,2013/09/01,38.68,-122.046,fall,pooled,NorthAmerica,DrosRTEC,57,SRR3939048,SRX1968277,Illumina HiSeq 2000,H._Machado,wild,2013,244,USR0000CBRO,10.7511059269376,0.07,0.02,0.02,0.01,0,0.01,0.08,Keep,160,164,48,6203,357,17,340,82,239,239,82,549,119,1,90,302,7,7,302,17,36,48,64,95,128,144,137,118,86,47,19,130,163,185,223,275,323,357,349,317,264,183,132,119,93,76,31,9,4,1,2,9,32,83,90,0.0131023351539468,male
CA_es_13_spring,CA_es,USA,Esparto,2013/05/07,38.68,-122.046,spring,pooled,NorthAmerica,DrosRTEC,50,SRR3939104,SRX1968333,Illumina HiSeq 2000,H._Machado,wild,2013,127,USR0000CBRO,10.7511059269376,0.06,0.02,0,0.03,0,0.01,0.05,Keep,160,164,48,6203,357,17,340,82,239,239,82,549,119,1,90,302,7,7,302,17,36,48,64,95,128,144,137,118,86,47,19,130,163,185,223,275,323,357,349,317,264,183,132,119,93,76,31,9,4,1,2,9,32,83,90,0.0448242081145158,male
CA_pl_12_fall,CA_pl,USA,Placerville,2012/08/25,38.74,-120.74,fall,pooled,NorthAmerica,DrosRTEC,100,SRR3939054,SRX1968283,Illumina HiSeq 2000,H._Machado,wild,2012,238,USC00046962,0.944751534017132,0.04,0.02,0,0.01,0,0.02,0.02,Keep,145,147,45,6345,336,11,325,78,229,230,72,1119,204,4,80,550,20,32,550,11,21,27,47,80,118,151,148,121,83,38,13,125,144,152,186,237,290,336,332,296,240,160,123,204,165,168,96,31,10,4,6,22,67,165,181,0.0124343029833145,male
CA_pl_12_frost,CA_pl,USA,Placerville,2012/11/18,38.74,-120.74,frost,pooled,NorthAmerica,DrosRTEC,56,SRR3939102,SRX1968331,Illumina HiSeq 2000,H._Machado,wild,2012,323,USC00046962,0.944751534017132,0.03,0.03,0,0.01,0.02,0.02,0.01,Keep,145,147,45,6345,336,11,325,78,229,230,72,1119,204,4,80,550,20,32,550,11,21,27,47,80,118,151,148,121,83,38,13,125,144,152,186,237,290,336,332,296,240,160,123,204,165,168,96,31,10,4,6,22,67,165,181,0.00412346668601755,male
CA_pl_13_fall,CA_pl,USA,Placerville,2013/08/30,38.74,-120.74,fall,pooled,NorthAmerica,DrosRTEC,88,SRR3939045,SRX1968274,Illumina HiSeq 2000,H._Machado,wild,2013,242,USC00046962,0.944751534017132,0.08,0.03,0,0.01,0.03,0,0.03,Keep,145,147,45,6345,336,11,325,78,229,230,72,1119,204,4,80,550,20,32,550,11,21,27,47,80,118,151,148,121,83,38,13,125,144,152,186,237,290,336,332,296,240,160,123,204,165,168,96,31,10,4,6,22,67,165,181,0.0116176400988991,male
CA_pl_13_frost,CA_pl,USA,Placerville,2013/12/16,38.74,-120.74,frost,pooled,NorthAmerica,DrosRTEC,72,SRR3939050,SRX1968279,Illumina HiSeq 2000,H._Machado,wild,2013,350,USC00046962,0.944751534017132,0.04,0.02,0,0.01,0,0.01,0.04,Keep,145,147,45,6345,336,11,325,78,229,230,72,1119,204,4,80,550,20,32,550,11,21,27,47,80,118,151,148,121,83,38,13,125,144,152,186,237,290,336,332,296,240,160,123,204,165,168,96,31,10,4,6,22,67,165,181,0.00463128731088107,male
CA_st_12_fall,CA_st,USA,Stockton,2012/10/01,38.02,-121.2,fall,pooled,NorthAmerica,DrosRTEC,100,SRR3939081,SRX1968310,Illumina HiSeq 2000,H._Machado,wild,2012,275,USC00048560,10.5949704958608,0.01,0.01,0.01,0.01,0.01,0,0,Keep,159,148,47,5894,337,27,310,82,231,231,82,394,77,1,83,201,6,6,201,28,44,56,75,102,128,145,141,127,92,53,27,119,159,187,225,270,308,337,330,306,255,175,122,77,62,59,35,10,3,1,2,7,21,55,62,0.0148832258484272,male
CA_st_12_frost,CA_st,USA,Stockton,2012/11/15,38.02,-121.2,frost,pooled,NorthAmerica,DrosRTEC,58,SRR3939100,SRX1968329,Illumina HiSeq 2000,H._Machado,wild,2012,320,USC00048560,10.5949704958608,0,0.01,0,0,0,0,0.02,Keep,159,148,47,5894,337,27,310,82,231,231,82,394,77,1,83,201,6,6,201,28,44,56,75,102,128,145,141,127,92,53,27,119,159,187,225,270,308,337,330,306,255,175,122,77,62,59,35,10,3,1,2,7,21,55,62,0.0289311542963528,male
CA_st_13_fall,CA_st,USA,Stockton,2013/09/03,38.02,-121.2,fall,pooled,NorthAmerica,DrosRTEC,72,SRR3939047,SRX1968276,Illumina HiSeq 2000,H._Machado,wild,2013,246,USC00048560,10.5949704958608,0.04,0.02,0,0.01,0,0,0,Keep,159,148,47,5894,337,27,310,82,231,231,82,394,77,1,83,201,6,6,201,28,44,56,75,102,128,145,141,127,92,53,27,119,159,187,225,270,308,337,330,306,255,175,122,77,62,59,35,10,3,1,2,7,21,55,62,0.0117666729024875,male
CA_tu_12_fall,CA_tu,USA,Tuolumne,2012/10/10,37.97,-120.26,fall,pooled,NorthAmerica,DrosRTEC,116,SRR3939093,SRX1968322,Illumina HiSeq 2000,H._Machado,wild,2012,284,USR0000CELI,10.3977191268207,0.07,0.02,0,0.01,0.03,0.01,0.01,Keep,134,151,46,6381,327,0,327,59,218,219,59,1012,185,3,82,507,18,24,507,0,6,15,35,68,105,137,134,108,67,25,0,113,133,145,179,230,283,327,323,287,233,153,108,185,153,151,96,28,10,3,5,16,51,145,169,0.00916260481171658,male
CA_tu_12_frost,CA_tu,USA,Tuolumne,2012/11/17,37.97,-120.26,frost,pooled,NorthAmerica,DrosRTEC,60,SRR3939101,SRX1968330,Illumina HiSeq 2000,H._Machado,wild,2012,322,USR0000CELI,10.3977191268207,0.08,0.03,0,0.01,0,0.01,0.02,Keep,134,151,46,6381,327,0,327,59,218,219,59,1012,185,3,82,507,18,24,507,0,6,15,35,68,105,137,134,108,67,25,0,113,133,145,179,230,283,327,323,287,233,153,108,185,153,151,96,28,10,3,5,16,51,145,169,0.00657538445910544,male
CA_tu_13_fall,CA_tu,USA,Tuolumne,2013/08/31,37.97,-120.26,fall,pooled,NorthAmerica,DrosRTEC,100,SRR3939046,SRX1968275,Illumina HiSeq 2000,H._Machado,wild,2013,243,USR0000CELI,10.3977191268207,0.07,0.01,0.01,0.01,0.01,0.01,0.06,Keep,134,151,46,6381,327,0,327,59,218,219,59,1012,185,3,82,507,18,24,507,0,6,15,35,68,105,137,134,108,67,25,0,113,133,145,179,230,283,327,323,287,233,153,108,185,153,151,96,28,10,3,5,16,51,145,169,0.010737730026166,male
CA_tu_13_frost,CA_tu,USA,Tuolumne,2013/12/08,37.97,-120.26,frost,pooled,NorthAmerica,DrosRTEC,100,SRR3939049,SRX1968278,Illumina HiSeq 2000,H._Machado,wild,2013,342,USR0000CELI,10.3977191268207,0.05,0.01,0.01,0.01,0.01,0.01,0.02,Keep,134,151,46,6381,327,0,327,59,218,219,59,1012,185,3,82,507,18,24,507,0,6,15,35,68,105,137,134,108,67,25,0,113,133,145,179,230,283,327,323,287,233,153,108,185,153,151,96,28,10,3,5,16,51,145,169,0.00421131044273413,male
CA_tu_13_spring,CA_tu,USA,Tuolumne,2013/05/14,37.97,-120.26,spring,pooled,NorthAmerica,DrosRTEC,98,SRR3939044,SRX1968273,Illumina HiSeq 2000,H._Machado,wild,2013,134,USR0000CELI,10.3977191268207,0.02,0.01,0,0.01,0,0,0.01,Keep,134,151,46,6381,327,0,327,59,218,219,59,1012,185,3,82,507,18,24,507,0,6,15,35,68,105,137,134,108,67,25,0,113,133,145,179,230,283,327,323,287,233,153,108,185,153,151,96,28,10,3,5,16,51,145,169,0.00537912917647415,male
CH_Cha_14_42,CH_Cha,Switzerland,Chalet à Gobet,2014/07/24,46.5670416,6.701867,spring,pooled,Europe,DrosEU,40,SRR5647754,SRX2885354,NextSeq 500,Martin_Kapun,wild,2014,205,SZE00116090,33.6229005185595,0.47,0.1,0.06,0.03,0.04,0.03,0.14,Keep,74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102,0.00627988820863328,male
CH_Cha_14_43,CH_Cha,Switzerland,Chalet à Gobet,2014/10/05,46.5670416,6.701867,fall,pooled,Europe,DrosEU,40,SRR5647758,SRX2885350,NextSeq 500,Martin_Kapun,wild,2014,278,SZE00116090,33.6229005185595,0.37,0.07,0.07,0.03,0.02,0.03,0.04,Exclude,74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102,0.0309937190232618,male
CH_Cha_15_39,CH_Cha,Switzerland,Chalet à Gobet,2015/08/01,46.5670416,6.701867,spring,pooled,Europe,DrosEU,40,SRR8439166,SRX5246542,HiSeq X Ten,Martin_Kapun_(Flatt_lab),wild,2015,213,SZE00116090,33.6229005185595,0.32,0.09,0.07,0.03,0,0,0.28,Keep,74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102,0.00371921546398174,male
CH_Cha_16_38,CH_Cha,Switzerland,Chalet à Gobet,2016/08/15,46.5670416,6.701867,spring,pooled,Europe,DrosEU,40,SRR8494459,SRX5299008,HiSeq X Ten,Martin_Kapun,wild,2016,228,SZE00116090,33.6229005185595,0.44,0.12,0.02,0.04,0.03,0.02,0.12,Keep,74,87,32,6320,219,-48,267,3,67,154,-9,1112,107,75,10,303,249,295,294,-48,-38,-13,19,56,89,108,103,82,41,0,-33,15,32,74,113,158,195,219,211,179,124,65,24,100,92,85,75,89,102,86,107,92,81,101,102,0.00406973192924817,male
CO,CO,Cameroon,Oku,2004/4,6.25,10.43,NA,haploid_embryo,Africa,dgn,10,NA,NA,NA,J._Pool,NA,2004,NA,NIM00065271,257.139824050464,0.11,0.01,0,0.01,0.9,0,0.1,Keep,171,108,76,966,253,112,141,158,179,182,158,1988,362,12,70,979,64,320,979,112,114,128,128,126,120,115,113,112,112,116,113,246,253,243,232,225,210,197,198,213,218,227,239,12,40,129,151,170,216,311,306,362,228,51,12,NA,female
CY_Nic_14_11,CY_Nic,Cyprus,Nicosia,2014/08/10,35.066461,33.322646,spring,pooled,Europe,DrosEU,40,SRR5647756,SRX2885352,NextSeq 500,Eliza_Argyridou,wild_caught_and_F1,2014,222,CY000176090,34.8925685457739,0.32,0.01,0.14,0.11,0,0.01,0.13,Keep,181,126,41,6425,348,47,301,101,263,263,101,391,88,1,84,217,10,10,217,48,47,63,93,133,173,196,198,171,138,98,66,140,149,177,224,276,320,346,348,313,266,212,161,78,51,46,21,21,7,1,2,8,31,37,88,0.00336846406288054,male
DE_Bro_14_14,DE_Bro,Germany,Broggingen,2014/06/26,48.218024,7.819513,spring,pooled,Europe,DrosEU,40,SRR5647762,SRX2885346,NextSeq 500,Fabian_Staubach,wild,2014,177,GME00121750,8.94277212115579,0.2,0.04,0.01,0.03,0,0.03,0.08,Keep,103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50,0.00322314969787144,male
DE_Bro_14_15,DE_Bro,Germany,Broggingen,2014/10/15,48.218024,7.819513,fall,pooled,Europe,DrosEU,40,SRR5647761,SRX2885347,NextSeq 500,Fabian_Staubach,wild,2014,288,GME00121750,8.94277212115579,0.1,0.05,0.01,0.02,0,0.02,0.04,Keep,103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50,0.00329691395974512,male
DE_Bro_15_53,DE_Bro,Germany,Broggingen,2015/06/30,48.218,7.82,spring,pooled,Europe,DrosEU,40,SRR8439148,SRX5246560,HiSeq X Ten,Fabian_Staubach,wild,2015,181,GME00121750,8.94277212115579,0.29,0.08,0,0.03,0.01,0.01,0.07,Keep,103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50,0.00323190455643582,male
DE_Bro_15_54,DE_Bro,Germany,Broggingen,2015/10/25,48.218,7.82,fall,pooled,Europe,DrosEU,40,SRR8439144,SRX5246564,HiSeq X Ten,Fabian_Staubach,wild,2015,298,GME00121750,8.94277212115579,0.19,0.06,0.03,0.02,0.02,0.01,0.08,Keep,103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50,0.00325487937469412,male
DE_Bro_16_10,DE_Bro,Germany,Broggingen,2016/07/24,48.218024,7.819513,spring,pooled,Europe,DrosEU,40,SRR8494434,SRX5299033,HiSeq X Ten,Fabian_Staubach,wild,2016,206,GME00121750,8.94277212115579,0.06,0.02,0.01,0.02,0,0.01,0.09,Keep,103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50,0.00379253894334217,male
DE_Bro_16_11,DE_Bro,Germany,Broggingen,2016/10/23,48.218024,7.819513,fall,pooled,Europe,DrosEU,40,SRR8494452,SRX5299015,HiSeq X Ten,Fabian_Staubach,wild,2016,297,GME00121750,8.94277212115579,0.11,0.03,0,0.02,0,0.01,0,Keep,103,86,32,6464,250,-13,263,185,33,185,20,757,95,43,26,254,138,254,140,-13,-5,19,49,88,121,140,136,107,66,24,-4,38,58,104,149,193,226,250,243,211,149,87,49,47,43,48,61,83,95,75,84,60,51,60,50,0.00366153014240144,male
DE_Mun_14_31,DE_Mun,Germany,Munich,2014/06/19,48.18,11.61,spring,pooled,Europe,DrosEU,40,SRR5647744,SRX2885364,NextSeq 500,John_Parsch,wild_caught_and_F1,2014,170,GM000004199,8.13091986679113,0.36,0.14,0,0.02,0,0.03,0.03,Keep,80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57,0.00346278078362313,male
DE_Mun_14_32,DE_Mun,Germany,Munich,2014/09/03,48.18,11.61,fall,pooled,Europe,DrosEU,40,SRR5647745,SRX2885363,NextSeq 500,John_Parsch,wild_caught_and_F1,2014,246,GM000004199,8.13091986679113,0.5,0.11,0.04,0.03,0,0.02,0.02,Keep,80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57,0.00604785174849417,male
DE_Mun_15_45,DE_Mun,Germany,Munich,2015/06/01,48.18,11.61,spring,pooled,Europe,DrosEU,40,SRR8439125,SRX5246583,HiSeq X Ten,Eliza_Argyridou,wild_caught_and_F1,2015,152,GM000004199,8.13091986679113,0.35,0.04,0.02,0.02,0,0.01,0.08,Keep,80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57,0.00342406698184813,male
DE_Mun_15_46,DE_Mun,Germany,Munich,2015/09/01,48.18,11.61,fall,pooled,Europe,DrosEU,40,SRR8439124,SRX5246584,HiSeq X Ten,Eliza_Argyridou,wild_caught_and_F1,2015,244,GM000004199,8.13091986679113,0.18,0.12,0,0.03,0,0.04,0.04,Keep,80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57,0.00352267807463372,male
DE_Mun_16_12,DE_Mun,Germany,Munich,2016/06/25,48.18,11.61,spring,pooled,Europe,DrosEU,40,SRR8494451,SRX5299016,HiSeq X Ten,John_Parsch,wild_caught_and_F1,2016,177,GM000004199,8.13091986679113,0.15,0.14,0,0.02,0,0.07,0.01,Keep,80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57,0.00370808284653362,male
DE_Mun_16_13,DE_Mun,Germany,Munich,2016/09/01,48.18,11.61,fall,pooled,Europe,DrosEU,40,SRR8494454,SRX5299013,HiSeq X Ten,John_Parsch,wild_caught_and_F1,2016,245,GM000004199,8.13091986679113,0.29,0.07,0.01,0.01,0,0.05,0.04,Keep,80,89,31,6827,229,-50,279,166,3,166,-10,911,122,48,35,347,153,347,157,-50,-43,-8,28,68,103,121,115,86,41,1,-34,13,32,81,130,175,208,229,222,189,131,65,24,52,48,53,68,97,122,116,109,74,55,60,57,0.00413206696256505,male
DK_Kar_14_39,DK_Kar,Denmark,Karensminde,2014/09/01,55.945128,10.212586,fall,pooled,Europe,DrosEU,40,SRR5647772,SRX2885336,NextSeq 500,Mads_Fristrup_Schou,wild,2014,244,DAE00100980,28.1948894483837,0.07,0.07,0,0.02,0,0.01,0,Keep,78,65,27,6046,200,-40,240,87,26,156,3,605,64,34,21,186,106,170,117,-38,-40,-13,29,74,109,128,121,97,61,15,4,28,31,55,95,148,182,200,198,163,116,72,43,47,34,36,36,44,48,61,61,60,62,64,52,0.00458425049511233,male
DK_Kar_14_41,DK_Kar,Denmark,Karensminde,2014/11/25,55.945128,10.212586,fall,pooled,Europe,DrosEU,40,SRR5647771,SRX2885337,NextSeq 500,Mads_Fristrup_Schou,wild,2014,329,DAE00100980,28.1948894483837,0.05,0.04,0,0.02,0,0.03,0,Keep,78,65,27,6046,200,-40,240,87,26,156,3,605,64,34,21,186,106,170,117,-38,-40,-13,29,74,109,128,121,97,61,15,4,28,31,55,95,148,182,200,198,163,116,72,43,47,34,36,36,44,48,61,61,60,62,64,52,0.00483507950171298,male
DK_Kar_16_2,DK_Kar,Denmark,Karensminde Orchard,2016/06/08,55.945128,10.212586,spring,pooled,Europe,DrosEU,40,SRR8494440,SRX5299027,HiSeq X Ten,Mads_Fristrup_Schou,wild,2016,160,DAE00100980,28.1948894483837,0.36,0.09,0.01,0.01,0,0.01,0,Keep,78,65,27,6046,200,-40,240,87,26,156,3,605,64,34,21,186,106,170,117,-38,-40,-13,29,74,109,128,121,97,61,15,4,28,31,55,95,148,182,200,198,163,116,72,43,47,34,36,36,44,48,61,61,60,62,64,52,0.00371526981419272,male
