Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sex,SRA Study,tissue,lat_lon,strain,collected_by,isolate,AssemblyName,Age,Biomaterial_provider,Breed,Cultivar,Ecotype,sample_type,Host,identified_by,isolation_source
SRR3939052,WGS,302,21670097580,PRJNA308584,SAMN05382914,Model organism or animal,10027580690,STANFORD UNIVERSITY,22-Sep-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968281,USA,North America,"USA: Cross Plains\, Wisconsin",Illumina HiSeq 4000,mel13CWI9_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel13CWI9_FAT,male,SRP075757,whole organism,43.11 N 89.65 W,wild,Pool,,,,,,,,,,,
SRR3939053,WGS,302,22883796924,PRJNA308584,SAMN05382915,Model organism or animal,10755891884,STANFORD UNIVERSITY,Oct-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968282,Ukraine,Europe,Ukraine: Odessa,Illumina HiSeq 4000,mel13OUK10_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel13OUK10_FAT,male,SRP075757,whole organism,46.49 N 30.71 E,wild,I. Kozeretska,,,,,,,,,,,
SRR3939054,WGS,184,23354946304,PRJNA308584,SAMN05382898,Model organism or animal,15348536203,STANFORD UNIVERSITY,25-Aug-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968283,USA,North America,"USA: Placerville\, California",Illumina HiSeq 2000,mel144_082012_GB,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel144_082012_GB,male,SRP075757,whole organism,38.74 N 120.74 W,wild,H. Machado,,,,,,,,,,,
SRR3939055,WGS,302,23524245002,PRJNA308584,SAMN05382916,Model organism or animal,10967578576,STANFORD UNIVERSITY,May-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968284,Ukraine,Europe,Ukraine: Odessa,Illumina HiSeq 4000,mel13OUK5_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel13OUK5_SPT,male,SRP075757,whole organism,46.49 N 30.71 E,wild,I. Kozeretska,,,,,,,,,,,
SRR3939056,WGS,302,38309259908,PRJNA308584,SAMN05382917,Model organism or animal,19044896251,STANFORD UNIVERSITY,Oct-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968285,USA,North America,"USA: Athens\, Georgia",Illumina HiSeq 4000,mel14AGA10_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14AGA10_FAT,male,SRP075757,whole organism,33.95 N 83.36 W,wild,K .Dyer,,,,,,,,,,,
SRR3939057,WGS,302,20801310624,PRJNA308584,SAMN05382918,Model organism or animal,10392409765,STANFORD UNIVERSITY,15-Jun-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968286,USA,North America,"USA: Athens\, Georgia",Illumina HiSeq 4000,mel14AGA6_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14AGA6_SPT,male,SRP075757,whole organism,33.95 N 83.36 W,wild,K .Dyer,,,,,,,,,,,
SRR3939058,WGS,302,46395959812,PRJNA308584,SAMN05382919,Model organism or animal,23256937056,STANFORD UNIVERSITY,05-Nov-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968287,USA,North America,"USA: Benton Harbor\, Michigan",Illumina HiSeq 4000,mel14BHM11_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14BHM11_FAT,male,SRP075757,whole organism,42.1111 N 86.4483 W,wild,T. Karasov,,,,,,,,,,,
SRR3939059,WGS,302,26574648852,PRJNA308584,SAMN05382920,Model organism or animal,13162229487,STANFORD UNIVERSITY,26-Jul-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968288,USA,North America,"USA: Benton Harbor\, Michigan",Illumina HiSeq 4000,mel14BHM7_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14BHM7_SPT,male,SRP075757,whole organism,42.1111 N 86.4483 W,wild,T. Karasov,,,,,,,,,,,
SRR3939076,WGS,302,22070670380,PRJNA308584,SAMN05382921,Model organism or animal,10567838240,STANFORD UNIVERSITY,14-Oct-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968305,USA,North America,"USA: Charlotttesville\, Virginia",Illumina HiSeq 4000,mel14CUA10_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14CUA10_FAT,male,SRP075757,whole organism,38 N 78.47 W,wild,A. Bergland,,,,,,,,,,,
SRR3939077,WGS,302,36837329424,PRJNA308584,SAMN05382922,Model organism or animal,17196698483,STANFORD UNIVERSITY,25-Jun-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968306,USA,North America,"USA: Charlotttesville\, Virginia",Illumina HiSeq 4000,mel14CUA6_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14CUA6_SPT,male,SRP075757,whole organism,38 N 78.47 W,wild,A. Bergland,,,,,,,,,,,
SRR3939078,WGS,302,23490874002,PRJNA308584,SAMN05382923,Model organism or animal,11036010499,STANFORD UNIVERSITY,25-Jun-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968307,USA,North America,"USA: Cross Plains\, Wisconsin",Illumina HiSeq 4000,mel14CWI6_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14CWI6_SPT,male,SRP075757,whole organism,43.11 N 89.65 W,wild,J. Pool,,,,,,,,,,,
SRR3939080,WGS,302,23597670262,PRJNA308584,SAMN05382925,Model organism or animal,11719864821,STANFORD UNIVERSITY,20-Oct-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968309,USA,North America,"USA: Lancaster\, Massachusetts",Illumina HiSeq 4000,mel14LMA10_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14LMA10_FAT,male,SRP075757,whole organism,42.45 N 71.67 W,wild,Schmidt,,,,,,,,,,,
SRR3939081,WGS,184,11195509808,PRJNA308584,SAMN05382899,Model organism or animal,7280858551,STANFORD UNIVERSITY,01-Oct-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968310,USA,North America,"USA: Stockton\, California",Illumina HiSeq 2000,mel153_102012_FB,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel153_102012_FB,male,SRP075757,whole organism,38.02 N 121.2 W,wild,H. Machado,,,,,,,,,,,
SRR3939082,WGS,302,22727559338,PRJNA308584,SAMN05382926,Model organism or animal,10641971460,STANFORD UNIVERSITY,20-Jul-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968311,USA,North America,"USA: Lancaster\, Massachusetts",Illumina HiSeq 4000,mel14LMA7_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14LMA7_SPT,male,SRP075757,whole organism,42.45 N 71.67 W,wild,Schmidt,,,,,,,,,,,
SRR3939083,WGS,302,27765411296,PRJNA308584,SAMN05382927,Model organism or animal,13432059140,STANFORD UNIVERSITY,16-Oct-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968312,USA,North America,"USA: State College\, Pennsylvania",Illumina HiSeq 4000,mel14SCPA10_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14SCPA10_FAT,male,SRP075757,whole organism,40.793395 N 77.860001 W,wild,S. Schaeffer,,,,,,,,,,,
SRR3939084,WGS,302,31956012522,PRJNA308584,SAMN05382928,Model organism or animal,15129919731,STANFORD UNIVERSITY,18-Jun-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968313,USA,North America,"USA: State College\, Pennsylvania",Illumina HiSeq 4000,mel14SCPA6_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14SCPA6_SPT,male,SRP075757,whole organism,40.793395 N 77.860001 W,wild,S. Schaeffer,,,,,,,,,,,
SRR3939085,WGS,302,16728960216,PRJNA308584,SAMN05382929,Model organism or animal,8348596846,STANFORD UNIVERSITY,22-Oct-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968314,USA,North America,"USA: Topeka\, Kansas",Illumina HiSeq 4000,mel14TKA10_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14TKA10_FAT,male,SRP075757,whole organism,39.202831 N 95.741527 W,wild,P.Roy,,,,,,,,,,,
SRR3939086,WGS,302,19245735502,PRJNA308584,SAMN05382930,Model organism or animal,9621916652,STANFORD UNIVERSITY,22-Jun-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968315,USA,North America,"USA: Topeka\, Kansas",Illumina HiSeq 4000,mel14TKA6_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14TKA6_SPT,male,SRP075757,whole organism,39.0913433 N 95.6246509 W,wild,P.Roy,,,,,,,,,,,
SRR3939087,WGS,302,19335723650,PRJNA308584,SAMN05382931,Model organism or animal,9568871350,STANFORD UNIVERSITY,19-Oct-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968316,USA,North America,"USA: Charlotttesville\, Virginia",Illumina HiSeq 4000,mel15CUA10_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel15CUA10_FAT,male,SRP075757,whole organism,38 N 78.47 W,wild,A. Bergland,,,,,,,,,,,
SRR3939088,WGS,302,20957274598,PRJNA308584,SAMN05382932,Model organism or animal,10314423702,STANFORD UNIVERSITY,01-Jul-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968317,USA,North America,"USA: Charlotttesville\, Virginia",Illumina HiSeq 4000,mel15CUA7_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel15CUA7_SPT,male,SRP075757,whole organism,38 N 78.47 W,wild,A. Bergland,,,,,,,,,,,
SRR3939089,WGS,302,21891432776,PRJNA308584,SAMN05382933,Model organism or animal,11000417866,STANFORD UNIVERSITY,18-Jul-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968318,USA,North America,"USA: State College\, Pennsylvania",Illumina HiSeq 4000,mel15SCPA7_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel15SCPA7_SPT,male,SRP075757,whole organism,40.793395 N 77.860001 W,wild,S. Schaeffer,,,,,,,,,,,
SRR3939091,WGS,302,49987579976,PRJNA308584,SAMN05382934,Model organism or animal,24404113666,STANFORD UNIVERSITY,03-Aug-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968320,Canada,North America,"Canada: Sudbury\, Ontario",Illumina HiSeq 4000,mel15SON8_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel15SON8_SPT,male,SRP075757,whole organism,46.53 N 80.96 W,wild,T. Merrit,,,,,,,,,,,
SRR3939092,WGS,302,15716198988,PRJNA308584,SAMN05382935,Model organism or animal,7810459842,STANFORD UNIVERSITY,30-Sep-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968321,Canada,North America,"Canada: Sudbury\, Ontario",Illumina HiSeq 4000,mel15SON9_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel15SON9_FAT,male,SRP075757,whole organism,46.53 N 80.96 W,wild,T. Merrit,,,,,,,,,,,
SRR3939093,WGS,184,11523433136,PRJNA308584,SAMN05382900,Model organism or animal,7269967110,STANFORD UNIVERSITY,10-Oct-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968322,USA,North America,"USA: Tuolumne\, California",Illumina HiSeq 2000,mel156_102012_CO,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel156_102012_CO,male,SRP075757,whole organism,37.97 N 120.26 W,wild,H. Machado,,,,,,,,,,,
SRR3939094,WGS,302,21252507080,PRJNA308584,SAMN05382936,Model organism or animal,10627267128,STANFORD UNIVERSITY,11-Jul-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968323,USA,North America,"USA: Urbana\, Illinois",Illumina HiSeq 4000,mel15UIL7_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel15UIL7_SPT,male,SRP075757,whole organism,40.11 N 88.21 W,wild,J. Birdsley,,,,,,,,,,,
SRR3939095,WGS,302,23030461110,PRJNA308584,SAMN05382937,Model organism or animal,10685368260,STANFORD UNIVERSITY,Jun-2013,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968324,USA,North America,"USA: Linvilla\, Pennsylvania",Illumina HiSeq 4000,mel13LN6_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel13LN6_SPT,male,SRP075757,whole organism,39.88 N 75.41 W,wild,Schmidt,,,,,,,,,,,
SRR3939096,WGS,302,29072448270,PRJNA308584,SAMN05382938,Model organism or animal,13621202731,STANFORD UNIVERSITY,17-Oct-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968325,USA,North America,"USA: Linvilla\, Pennsylvania",Illumina HiSeq 4000,mel14LNPA10_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14LNPA10_FAT,male,SRP075757,whole organism,39.88 N 75.41 W,wild,Schmidt,,,,,,,,,,,
SRR3939097,WGS,302,26040386994,PRJNA308584,SAMN05382939,Model organism or animal,12082729637,STANFORD UNIVERSITY,27-Jun-2014,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968326,USA,North America,"USA: Linvilla\, Pennsylvania",Illumina HiSeq 4000,mel14LNPA6_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel14LNPA6_SPT,male,SRP075757,whole organism,39.88 N 75.41 W,wild,Schmidt,,,,,,,,,,,
SRR3939098,WGS,302,21065144468,PRJNA308584,SAMN05382940,Model organism or animal,9836469312,STANFORD UNIVERSITY,Oct-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968327,USA,North America,"USA: Linvilla\, Pennsylvania",Illumina HiSeq 4000,mel15LN10_FAT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel15LN10_FAT,male,SRP075757,whole organism,39.88 N 75.41 W,wild,Schmidt,,,,,,,,,,,
SRR3939099,WGS,302,50999886090,PRJNA308584,SAMN05382941,Model organism or animal,25461750684,STANFORD UNIVERSITY,Jul-2015,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968328,USA,North America,"USA: Linvilla\, Pennsylvania",Illumina HiSeq 4000,mel15LN7_SPT,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel15LN7_SPT,male,SRP075757,whole organism,39.88 N 75.41 W,wild,Schmidt,,,,,,,,,,,
SRR3939100,WGS,250,12646924750,PRJNA308584,SAMN05382901,Model organism or animal,4720290749,STANFORD UNIVERSITY,15-Nov-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968329,USA,North America,"USA: Stockton\, California",Illumina HiSeq 2000,mel158_112012_FB,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel158_112012_FB,male,SRP075757,whole organism,38.02 N 121.2 W,wild,H. Machado,,,,,,,,,,,
SRR3939101,WGS,250,20162336750,PRJNA308584,SAMN05382902,Model organism or animal,8053055032,STANFORD UNIVERSITY,17-Nov-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968330,USA,North America,"USA: Tuolumne\, California",Illumina HiSeq 2000,mel159_112012_CO,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel159_112012_CO,male,SRP075757,whole organism,37.97 N 120.26 W,wild,H. Machado,,,,,,,,,,,
SRR3939102,WGS,250,11626810250,PRJNA308584,SAMN05382903,Model organism or animal,4314619290,STANFORD UNIVERSITY,18-Nov-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968331,USA,North America,"USA: Placerville\, California",Illumina HiSeq 2000,mel160_112012_GB,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel160_112012_GB,male,SRP075757,whole organism,38.74 N 120.74 W,wild,H. Machado,,,,,,,,,,,
SRR3939103,WGS,250,11701509000,PRJNA308584,SAMN05382904,Model organism or animal,4386353867,STANFORD UNIVERSITY,20-Nov-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968332,USA,North America,"USA: Esparto\, California",Illumina HiSeq 2000,mel161_112012_RD,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel161_112012_RD,male,SRP075757,whole organism,38.68 N 122.046 W,wild,H. Machado,,,,,,,,,,,
SRR3939104,WGS,184,12323219128,PRJNA308584,SAMN05382905,Model organism or animal,7938479558,STANFORD UNIVERSITY,07-May-2012,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1968333,USA,North America,"USA: Esparto\, California",Illumina HiSeq 2000,mel169_052013_RD,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2017-01-01T00:00:00Z,mel169_052013_RD,male,SRP075757,whole organism,38.68 N 122.046 W,wild,H. Machado,,,,,,,,,,,
SRR3590548,WGS,183,9356812712,PRJNA308584,SAMN04412684,Model organism or animal,4335158445,STANFORD UNIVERSITY,2012-10-15,public,"bam,fasta,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801493,Spain,Europe,Spain: Barcelona,Illumina HiSeq 2000,BA_10_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,BA_10_2012,male,SRP075757,whole organism,41.3833 N 2.1833 E,not applicable,,not applicable,assembly,not collected,Gonzalez Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590549,WGS,183,6805904976,PRJNA308584,SAMN04412685,Model organism or animal,3268857413,STANFORD UNIVERSITY,2012-07-13,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801494,Spain,Europe,Spain: Barcelona,Illumina HiSeq 2000,BA_07_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,BA_07_2012,male,SRP075757,whole organism,41.3833 N 2.1833 E,not applicable,,not applicable,assembly,not collected,Gonzalez Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
SRR3590550,WGS,183,8336747992,PRJNA308584,SAMN04412694,Model organism or animal,4282690177,STANFORD UNIVERSITY,2012-11-05,public,"bam,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",adult,SRX1801495,USA,North America,"USA: Charlotttesville\, Virginia",Illumina HiSeq 2000,VA_11_2012_lib,PAIRED,RANDOM,GENOMIC,Drosophila melanogaster,ILLUMINA,2016-06-06T00:00:00Z,VA_11_2012,male,SRP075757,whole organism,38.0299 N 78.479 W,not applicable,,not applicable,assembly,not collected,Schmidt Lab,not applicable,not applicable,not applicable,pooled whole organisms,,,
